序号,代码,名称,市场代码简称,最新价(元) 2026.04.14,涨跌幅(%) 2026.04.14,证券类型,销售毛利率平均值 2023.12.31 - 2025.12.31,销售净利率平均值 2023.12.31 - 2025.12.31,经营活动产生的现金流量净额(元) 2025.12.31,经营活动产生的现金流量净额(元) 2024.12.31,经营活动产生的现金流量净额(元) 2023.12.31,分红次数(次) 2025.12.31,分红次数(次) 2024.12.31,分红次数(次) 2023.12.31,分红次数(次) 2022.12.31,分红次数(次) 2021.12.31,年度股息率(%) 2025.12.31,年度股利支付率平均值 2023.12.31 - 2025.12.31,资本支出/折旧摊销/归属母公司股东的净利润 截至2026.04.14最新,资本支出/折旧摊销(%) 截至2026.04.14最新,资产负债率(%) 截至2026.04.14最新,流动比率(%) 截至2026.04.14最新,市盈率(动)(倍) 2026.04.14,市净率(倍) 2026.04.14,归属母公司股东的净利润(元) 截至2026.04.14最新,净利润(元) 截至2026.04.14最新,涨跌额(元) 2026.04.14,最高价(元) 2026.04.14,最低价(元) 2026.04.14,换手率(%) 2026.04.14,量比 2026.04.14,成交量(股) 2026.04.14,成交额(元) 2026.04.14,总市值(元) 2026.04.14,流通市值(元) 2026.04.14
1,600211,西藏药业,SH,41.56,0.97,A股,94.49,31.42,10.05亿|2025年报,9.95亿|2024年报,10.63亿|2023年报,2,3,2,1,1,4.13,60.01,0.00,19.85|2025年报,33.98|2025年报,2.83|2025年报,3.57,3.5266,9.38亿|2025年报,9.17亿|2025年报,0.400,41.59,40.89,0.77,0.77,249.01万,1.03亿,133.96亿,133.96亿
2,603444,吉比特,SH,357.58,0.43,A股,90.10,33.80,27.96亿|2025年报,12.49亿|2024年报,11.86亿|2023年报,3,3,1,2,1,4.62,66.39,0.00,3.85|2025年报,24.16|2025年报,3.01|2025年报,3.59,4.6747,17.94亿|2025年报,21.46亿|2025年报,1.530,359.99,354.50,1.98,0.80,142.41万,5.08亿,257.60亿,257.60亿
3,688526,科前生物,SH,15.07,1.69,A股,67.61,40.53,4.69亿|2025年报,3.93亿|2024年报,5.38亿|2023年报,1,1,1,1,1,4.19,57.96,0.00,108.92|2025年报,11.48|2025年报,6.40|2025年报,4.19,1.6572,4.19亿|2025年报,4.17亿|2025年报,0.250,15.07,14.77,0.47,0.74,219.30万,3275.59万,70.25亿,70.25亿
4,000513,丽珠集团,SZ,33.85,0.83,A股,65.14,18.28,31.45亿|2025年报,29.79亿|2024年报,32.49亿|2023年报,1,1,1,1,1,4.15,58.34,0.00,91.64|2025年报,35.18|2025年报,2.23|2025年报,3.71,2.1641,20.23亿|2025年报,24.11亿|2025年报,0.280,33.90,33.45,0.79,0.81,448.73万,1.51亿,300.56亿,192.32亿
5,605028,世茂能源,SH,28.44,0.67,A股,60.21,51.09,1.95亿|2025年报,2.30亿|2024年报,2.72亿|2023年报,2,2,1,2,2,3.05,69.70,0.00,135.56|2025年报,10.76|2025年报,6.78|2025年报,6.60,3.3174,1.72亿|2025年报,1.72亿|2025年报,0.190,28.46,27.78,0.92,0.78,147.16万,4149.47万,45.50亿,45.50亿
6,002393,力生制药,SZ,23.32,0.60,A股,56.58,25.22,2.47亿|2025年报,8826.34万|2024年报,2.00亿|2023年报,2,1,1,1,1,4.15,44.90,0.00,46.77|2025年报,16.54|2025年报,4.37|2025年报,3.61,1.3199,4.16亿|2025年报,4.23亿|2025年报,0.140,23.33,22.82,1.76,0.83,441.68万,1.02亿,60.07亿,58.37亿
7,601518,吉林高速,SH,2.81,-1.06,A股,54.46,39.91,8.20亿|2025年报,7.85亿|2024年报,10.08亿|2023年报,1,1,1,1,1,4.61,37.13,0.00,7.26|2025年报,8.13|2025年报,4.95|2025年报,2.71,0.9297,4.91亿|2025年报,5.37亿|2025年报,-0.030,2.84,2.78,2.01,1.39,3800.35万,1.07亿,53.12亿,53.12亿
8,600938,中国海油,SH,37.70,-1.08,A股,51.66,31.09,2090.42亿|2025年报,2208.91亿|2024年报,2097.43亿|2023年报,2,2,2,2,1,3.85,44.43,0.00,139.84|2025年报,26.71|2025年报,3.24|2025年报,3.67,2.2322,1220.82亿|2025年报,1221.48亿|2025年报,-0.410,38.00,37.30,1.74,0.72,5207.22万,19.58亿,1.79万亿,1127.23亿
9,601000,唐山港,SH,4.73,-1.87,A股,46.97,36.79,18.88亿|2025年报,23.43亿|2024年报,23.88亿|2023年报,1,1,1,1,2,5.21,60.26,0.00,91.32|2025年报,9.01|2025年报,5.75|2025年报,3.51,1.3046,19.98亿|2025年报,21.80亿|2025年报,-0.090,4.83,4.70,0.75,0.96,4451.72万,2.11亿,280.30亿,280.30亿
