序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,中证行业指数成份股,低位 2026.04.30,大单净额(元) 2026.04.30,大单净额(元) 2026.04.29,大单净额(元) 2026.04.28,证券类型,总市值(元) 2026.04.30,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,量比 2026.04.30,成交量(股) 2026.04.30,成交额(元) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,流通市值(元) 2026.04.30
1,300765,新诺威,SZ,30.37,1.44,中证全指主要消费指数、中证全指主要消费行业指数、中证全指食品、饮料与烟草行业指数、中证全指食品、饮料与烟草指数、中证全指食品指数,符合,1253.16万,708.48万,1608.10万,A股,426.57亿,0.430,31.59,29.95,0.84,1.31,1177.33万,3.62亿,-113.63,16.5529,426.57亿
2,600737,中粮糖业,SH,15.05,1.55,中证主要消费指数、中证全指主要消费指数、中证500食品饮料指数、中证全指主要消费行业指数、中证全指食品、饮料与烟草行业指数、中证800食品饮料指数、中证全指食品、饮料与烟草指数、中证全指食品指数、中证500主要消费指数、中证红利价值指数,符合,1444.31万,205.05万,778.42万,A股,321.90亿,0.230,15.12,14.60,1.38,1.37,2941.36万,4.40亿,37.26,2.7674,321.90亿
3,603816,顾家家居,SH,29.04,-1.26,中证可选消费指数、中证全指可选消费指数、中证500耐用消费品指数、中证全指可选消费行业指数、中证全指耐用消费品行业指数、中证800耐用消费品指数、中证全指耐用消费品指数、中证500可选消费指数,符合,79.66万,533.58万,698.84万,A股,238.55亿,-0.370,30.88,28.57,1.38,1.47,1122.04万,3.27亿,12.02,2.1521,235.85亿
4,001221,悍高集团,SZ,57.02,2.74,中证可选消费指数、中证全指可选消费指数、中证500耐用消费品指数、中证全指可选消费行业指数、中证全指耐用消费品行业指数、中证800耐用消费品指数、中证全指耐用消费品指数、中证500可选消费指数,符合,270.30万,942.13万,1104.86万,A股,228.09亿,1.520,58.84,55.00,8.57,1.21,308.50万,1.78亿,44.36,7.7454,20.53亿
5,002984,森麒麟,SZ,17.18,-1.09,中证可选消费指数、中证全指可选消费指数、中证500乘用车及零部件指数、中证全指可选消费行业指数、中证全指乘用车及零部件行业指数、中证全指乘用车及零部件指数、中证500可选消费指数,符合,2766.56万,1737.00万,936.48万,A股,178.03亿,-0.190,17.55,17.05,2.12,1.13,1516.69万,2.61亿,21.22,1.3158,122.65亿
6,603997,继峰股份,SH,12.17,0.08,中证全指可选消费指数、中证全指可选消费行业指数、中证全指乘用车及零部件行业指数、中证全指乘用车及零部件指数、中证1000可选消费指数,符合,4402.19万,1274.52万,387.28万,A股,154.83亿,0.010,12.37,12.06,1.31,1.75,1661.03万,2.02亿,29.41,2.8627,154.83亿
7,000735,罗 牛 山,SZ,6.58,2.65,中证全指农牧渔指数、中证全指主要消费行业指数,符合,246.61万,343.44万,1864.28万,A股,75.77亿,0.170,6.76,6.38,2.48,1.11,2855.49万,1.88亿,-11.42,1.8176,75.73亿
8,300507,苏奥传感,SZ,8.16,-0.85,中证全指可选消费行业指数、中证全指乘用车及零部件指数,符合,112.34万,1589.73万,798.39万,A股,65.33亿,-0.070,8.25,8.12,1.35,0.68,1049.86万,8571.66万,125.38,3.0163,63.24亿
9,002590,万安科技,SZ,11.89,-0.59,中证全指可选消费行业指数、中证全指乘用车及零部件指数,符合,68.97万,1614.92万,2108.38万,A股,61.72亿,-0.070,11.97,11.75,1.61,0.69,798.11万,9473.22万,50.15,2.0018,58.85亿
10,001328,登康口腔,SZ,31.80,-3.11,中证全指家庭与个人用品指数、中证全指主要消费行业指数、中证全指家庭与个人用品行业指数,符合,632.95万,167.67万,97.98万,A股,54.75亿,-1.020,32.97,31.70,1.60,1.30,258.90万,8319.67万,26.43,3.4798,51.43亿
11,002035,华帝股份,SZ,5.89,-0.84,中证全指家用电器指数、中证全指可选消费行业指数、中证全指耐用消费品指数,符合,872.58万,869.28万,339.74万,A股,49.93亿,-0.050,5.95,5.87,1.53,0.78,1194.60万,7050.14万,12.35,1.2971,46.06亿
12,301398,星源卓镁,SZ,43.80,1.01,中证全指可选消费行业指数、中证全指乘用车及零部件指数,符合,242.80万,349.66万,316.08万,A股,49.06亿,0.440,44.39,43.09,3.48,0.91,129.38万,5671.61万,-78.35,4.4509,16.30亿
13,301066,万事利,SZ,14.92,0.88,中证全指纺织服装与珠宝指数、中证全指可选消费行业指数、中证全指纺织服装指数,符合,450.35万,731.91万,1224.17万,A股,35.05亿,0.130,15.07,14.70,2.56,0.88,596.19万,8889.66万,58.77,2.7203,34.78亿
14,688089,嘉必优,SH,16.03,-0.19,中证全指主要消费行业指数、中证全指食品、饮料与烟草指数、中证全指食品指数,符合,66.04万,536.18万,155.78万,A股,26.98亿,-0.030,16.41,15.89,2.38,0.46,400.05万,6454.36万,-15.48,1.6985,26.98亿
